,BALA LORRY TRANS & ENTERPRISE,BIOSIGN RESOURCES,COLOUR SCAN SEPARATION SDN BHD,KALYX MANAGEMENT SERVICES,PUMKIN GROUP SDN BHD,PIXEL CENTURY SDN BHD,SFN MANAGEMENT SERVICES,Year,Month
0,0.0,0.0,0.0,0.0,233.8,0.0,0.0,2023,January
1,0.0,0.00,0.0,0.0,126.5,9234.0,0.00,2023,February
2,0.0,0.0,0.0,0.0,444.3,0.0,0.0,2023,March
3,180.0,0.00,0.0,140.0,109.4,8550.0,0.00,2023,April
4,650.0,0.00,0.0,0.0,1533.1,18010.0,0.00,2023,May
5,1840.0,0.00,0.0,3000.0,156124.47,2700.0,0.00,2023,June
6,360.0,0.00,0.0,0.0,7410.45,0.0,0.00,2023,July
7,1710.0,0.00,0.0,0.0,77856.1,0.0,770.00,2023,August
8,1930.0,0.00,0.0,0.0,58541.5,0.0,0.00,2023,September
9,3590.0,400.00,1100.0,0.0,211212.23,0.0,0.00,2023,October
10,2710.0,500.00,0.0,0.0,23216.6,0.0,0.00,2023,November
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,December
